horizon,alpha,budget_per_shared_group,panel_index,method,replications,mse,mse_se,bias,normalized_to_uniform
2,0.1,50,0,learned_occupancy,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,0,oracle_tail,300,4.143566417767515e-17,1.1200078439918493e-25,6.437053998350114e-09,0.04143566417767515
2,0.1,50,0,tis,300,4.1435664220554414e-17,2.845469245737738e-25,6.437054001680783e-09,0.04143566422055441
2,0.1,50,0,tis_anchored,300,4.143566421102566e-17,2.845469245737738e-25,6.437054000940634e-09,0.04143566421102565
2,0.1,50,0,uniform,300,4.1435664130031257e-17,2.593885058531331e-25,6.4370539946493705e-09,0.041435664130031254
2,0.1,50,1,learned_occupancy,300,0.0003001020220507271,2.3344076934769142e-05,-0.0001614701371298651,0.051145368161453146
2,0.1,50,1,oracle_tail,300,0.00011588468069770842,8.351969812496525e-06,0.00015076661096098657,0.019749832467156416
2,0.1,50,1,tis,300,0.00548303062335237,0.0007781171287479716,-0.0008033818957051773,0.9344542830986882
2,0.1,50,1,tis_anchored,300,0.00034025465179356916,3.4225350364805546e-05,1.6618791641304087e-05,0.05798844444869337
2,0.1,50,1,uniform,300,0.005867628542693837,0.0004386984264351441,0.002336737240795812,1.0
2,0.1,50,2,learned_occupancy,300,4.928717032884552e-05,3.9449820925517185e-06,0.000547908356047712,0.03633731316059913
2,0.1,50,2,oracle_tail,300,1.8138624274679532e-05,1.532010743553234e-06,0.00014011356102091959,0.013372828388683722
2,0.1,50,2,tis,300,0.0011008724814681404,9.93766089429616e-05,-0.0008352082827307017,0.8116259838431403
2,0.1,50,2,tis_anchored,300,6.913319921673503e-05,6.509694243592889e-06,0.0006847072417692342,0.05096893761544192
2,0.1,50,2,uniform,300,0.0013563790506747769,0.0001005316987662818,0.001381872413116844,1.0
2,0.1,50,3,learned_occupancy,300,1.222599705890467e-06,1.5550721067304114e-07,3.066765236507063e-05,0.14049950022432567
2,0.1,50,3,oracle_tail,300,1.5309519287610623e-07,1.3541322965684552e-08,5.4636328207661546e-06,0.01759349195178584
2,0.1,50,3,tis,300,1.0897822081724212e-05,1.8143535153883741e-06,-0.00023617179750678156,1.2523629350137002
2,0.1,50,3,tis_anchored,300,1.7082683025177877e-06,2.3274230472209466e-07,3.7829678896502314e-07,0.19631187672992043
2,0.1,50,3,uniform,300,8.701808219519842e-06,1.224792654843897e-06,-0.00014057979115678003,1.0
2,0.1,50,4,learned_occupancy,300,1.4770519813832091e-06,1.4411883870685483e-07,6.252701761559935e-05,0.03305610064112771
2,0.1,50,4,oracle_tail,300,9.307633928983184e-07,1.0909767874321761e-07,7.780756146288e-07,0.020830281382454578
2,0.1,50,4,tis,300,5.21010687252477e-05,1.6924926895927313e-05,6.43474672219361e-05,1.1660105351737609
2,0.1,50,4,tis_anchored,300,3.2283139051356506e-06,4.344002503119577e-07,6.030489563879526e-05,0.07224895988384962
2,0.1,50,4,uniform,300,4.4683188662170636e-05,1.1355443469862958e-05,-8.11731094232863e-05,1.0
2,0.1,50,5,learned_occupancy,300,5.485502769070834e-06,1.5399895726432685e-06,0.0005382448646684109,0.01881564420871552
2,0.1,50,5,oracle_tail,300,1.99047712911657e-06,3.617269782828449e-07,0.0003208921945781007,0.006827470706643493
2,0.1,50,5,tis,300,0.00022348355762646656,3.9802051590918206e-05,0.00532432391060876,0.7665636649582499
2,0.1,50,5,tis_anchored,300,8.231427988633242e-06,1.7213311466944462e-06,0.0007760051144502189,0.02823435278112535
2,0.1,50,5,uniform,300,0.00029153946089870874,4.475544968808921e-05,0.007829169643725402,1.0
2,0.1,50,6,learned_occupancy,300,4.689241859732149e-05,5.63422609456928e-06,0.000654492436020377,0.044013196724444814
2,0.1,50,6,oracle_tail,300,2.1328673523049988e-05,3.846684718095862e-06,0.0007856749014209893,0.020019080519235104
2,0.1,50,6,tis,300,0.003128030856905766,0.000448174210088505,0.004651206500511406,2.9359679364670517
2,0.1,50,6,tis_anchored,300,5.938308075619702e-05,5.869686274576719e-06,0.0006589955417196673,0.055736924935993484
2,0.1,50,6,uniform,300,0.0010654172404450132,9.961310382962332e-05,0.0024396041102112552,1.0
2,0.1,50,7,learned_occupancy,300,9.275407926850447e-05,1.0309777761987324e-05,-4.3230834941721716e-05,0.14803178184719087
2,0.1,50,7,oracle_tail,300,1.1016298163157281e-05,8.719188018799395e-07,-0.00018884753359830678,0.017581569018990297
2,0.1,50,7,tis,300,0.0003960294003059273,6.36586790338844e-05,9.80089369144658e-06,0.632047002714063
2,0.1,50,7,tis_anchored,300,9.786137376923238e-05,1.599595887525829e-05,-0.00039467995486837436,0.15618281855979219
2,0.1,50,7,uniform,300,0.0006265821981677687,7.124105973590947e-05,-0.0027469688395809215,1.0
2,0.1,50,8,learned_occupancy,300,9.007773222029194e-06,6.98405462943537e-07,3.3825214668958454e-05,0.03750482255955657
2,0.1,50,8,oracle_tail,300,5.09271041567528e-06,3.7203765462826144e-07,-5.0305574489712956e-05,0.021204041862421554
2,0.1,50,8,tis,300,0.0004904410338933745,0.0001689005538051695,0.002656587193502893,2.0420034451037012
2,0.1,50,8,tis_anchored,300,1.541979159049769e-05,1.45366852503366e-06,2.237876225846073e-06,0.0642019435050431
